dist, angle, rangeIR, mts, flag
7, 1, 1454300, 34478, 1
7, 1, 1446707, 34508, 1
7, 1, 1093137, 34538, 1
7, 0, 1303636, 34568, 1
7, 1, 1826296, 34598, 1
7, 1, 2107320, 34628, 1
7, 1, 2375145, 34658, 1
7, 0, 2602585, 34688, 1
7, 1, 3027047, 34718, 1
7, 1, 3234287, 34749, 1
7, 1, 2746485, 34779, 1
7, 0, 2162293, 34809, 1
7, 1, 1961626, 34839, 1
7, 1, 1904359, 34869, 1
7, 0, 1837195, 34899, 1
7, 1, 1924838, 34929, 1
7, 1, 2055676, 34959, 1
7, 1, 2031021, 34989, 1
7, 1, 1899322, 35019, 1
7, 0, 1891799, 35049, 1
7, 1, 1541687, 35140, 1
7, 0, 1817641, 35170, 1
7, 1, 2061568, 35200, 1
7, 1, 1729810, 35230, 1
7, 1, 1485618, 35260, 1
7, 0, 1456673, 35290, 1
7, 1, 1406055, 35320, 1
7, 1, 1305422, 35350, 1
7, 0, 1226493, 35380, 1
7, 1, 1260463, 35410, 1
7, 1, 1360896, 35440, 1
7, 1, 1425746, 35470, 1
7, 1, 1455372, 35501, 1
7, 0, 1458076, 35531, 1
7, 1, 1437687, 35561, 1
6, 1, 1370693, 35591, 1
4, 0, 1883377, 35606, 1
7, 0, 2341810, 35636, 1
7, 1, 2190844, 35666, 1
7, 1, 1936013, 35696, 1
7, 1, 1599616, 35726, 1
7, 0, 1492278, 35756, 1
7, 1, 1520823, 35786, 1
7, 1, 1522572, 35816, 1
7, 1, 1589226, 35846, 1
7, 0, 1732376, 35876, 1
7, 1, 1828273, 35907, 1
7, 1, 1621586, 35937, 1
7, 1, 1362690, 35967, 1
7, 0, 1296329, 35997, 1
7, 1, 1228545, 36027, 1
7, 1, 1162789, 36057, 1
7, 1, 1164440, 36087, 1
7, 0, 1172489, 36117, 1
7, 1, 1105189, 36147, 1
7, 1, 1063929, 36177, 1
7, 0, 1280121, 36207, 1
7, 1, 1477175, 36237, 1
7, 1, 1229621, 36267, 1
7, 1, 968507, 36298, 1
7, 1, 994855, 36328, 1
7, 0, 1042973, 36358, 1
7, 1, 918162, 36388, 1
7, 1, 869072, 36418, 1
7, 1, 936228, 36448, 1
7, 0, 936228, 36478, 1
7, 1, 976973, 36508, 1
7, 1, 1404839, 36538, 1
7, 1, 1826937, 36568, 1
7, 0, 1840939, 36598, 1
7, 1, 1809015, 36628, 1
7, 1, 1827405, 36658, 1
7, 1, 2237855, 36689, 1
7, 0, 2571043, 36719, 1
7, 1, 2386262, 36749, 1
7, 1, 2216414, 36779, 1
7, 0, 2340237, 36809, 1
7, 1, 2502113, 36839, 1
7, 1, 2507794, 36869, 1
7, 1, 2604259, 36899, 1
7, 1, 2623884, 36929, 1
7, 0, 2507967, 36959, 1
7, 1, 2359339, 36989, 1
7, 1, 2281406, 37019, 1
7, 1, 2203058, 37049, 1
7, 0, 1996307, 37079, 1
7, 1, 1711880, 37110, 1
7, 1, 1722839, 37140, 1
7, 1, 1817995, 37170, 1
7, 0, 1453348, 37200, 1
7, 1, 1161099, 37230, 1
7, 1, 1098312, 37260, 1
7, 0, 1048795, 37290, 1
7, 1, 1013133, 37320, 1
7, 1, 964987, 37350, 1
7, 1, 794876, 37380, 1
7, 1, 587330, 37410, 1
7, 0, 394896, 37440, 1
7, 1, 227322, 37470, 1
7, 1, 225484, 37501, 1
7, 1, 257370, 37531, 1
7, 0, 195640, 37561, 1
7, 1, 142636, 37591, 1
7, 1, 600333, 37621, 1
7, 1, 1186798, 37651, 1
7, 0, 1585398, 37681, 1
7, 1, 1890746, 37711, 1
7, 1, 1842523, 37741, 1
7, 1, 1703205, 37771, 1
7, 0, 1616059, 37801, 1
7, 1, 2041578, 37831, 1
7, 1, 2695832, 37861, 1
7, 1, 3005652, 37892, 1
7, 0, 2705661, 37922, 1
7, 1, 1978998, 37952, 1
7, 1, 1195346, 37982, 1
7, 0, 452947, 38012, 1
7, 1, 321597, 38042, 1
7, 1, 346554, 38072, 1
7, 1, 160568, 38102, 1
7, 1, 87808, 38132, 1
7, 0, 81738, 38162, 1
7, 1, 79847, 38192, 1
7, 1, 79525, 38222, 1
7, 1, 79926, 38252, 1
7, 0, 148991, 38282, 1
7, 1, 703258, 38312, 1
7, 1, 1289766, 38343, 1
7, 1, 1390733, 38373, 1
7, 0, 1327889, 38403, 1
7, 1, 1162823, 38433, 1
7, 1, 902708, 38463, 1
7, 1, 774135, 38493, 1
7, 1, 742160, 38523, 1
7, 0, 719982, 38553, 1
7, 1, 779143, 38583, 1
7, 1, 666336, 38613, 1
7, 0, 918800, 38643, 1
7, 1, 1513553, 38674, 1
7, 1, 1986929, 38704, 1
7, 1, 2347548, 38734, 1
7, 0, 2299524, 38764, 1
7, 1, 2070781, 38794, 1
7, 1, 1523821, 38824, 1
7, 1, 720448, 38854, 1
7, 0, 898580, 38884, 1
7, 1, 1562430, 38914, 1
7, 1, 1978321, 38944, 1
7, 1, 2016937, 38974, 1
7, 0, 1636937, 39004, 1
7, 1, 1118042, 39034, 1
7, 1, 673281, 39064, 1
7, 1, 568090, 39094, 1
7, 0, 629957, 39125, 1
7, 1, 761088, 39155, 1
7, 1, 699314, 39185, 1
7, 1, 639172, 39215, 1
7, 0, 714649, 39245, 1
7, 1, 778136, 39275, 1
7, 1, 805489, 39305, 1
7, 1, 807504, 39335, 1
7, 0, 922785, 39365, 1
7, 1, 1215132, 39395, 1
7, 1, 1038026, 39425, 1
7, 1, 441491, 39455, 1
7, 0, 146426, 39486, 1
7, 1, 87426, 39516, 1
7, 1, 210546, 39546, 1
7, 1, 315281, 39576, 1
7, 0, 276504, 39606, 1
7, 1, 178524, 39636, 1
7, 1, 89057, 39666, 1
7, 1, 80597, 39696, 1
7, 0, 80030, 39726, 1
7, 1, 80253, 39756, 1
7, 1, 79477, 39786, 1
7, 0, 78874, 39816, 1
7, 1, 79802, 39846, 1
7, 1, 80164, 39876, 1
7, 1, 78761, 39907, 1
7, 1, 78503, 39937, 1
7, 0, 79978, 39967, 1
7, 1, 80942, 39997, 1
7, 1, 79913, 40027, 1
7, 1, 78815, 40057, 1
7, 0, 79435, 40087, 1
7, 1, 79514, 40117, 1
7, 1, 78638, 40147, 1
8, 1, 79588, 40177, 1
6, 0, 80292, 40207, 1
8, 1, 79041, 40237, 1
6, 1, 78159, 40267, 1
7, 1, 79034, 40298, 1
7, 0, 80439, 40328, 1
7, 1, 272032, 40358, 1
7, 1, 489047, 40388, 1
7, 1, 518558, 40418, 1
7, 1, 376098, 40448, 1
7, 0, 174812, 40478, 1
7, 1, 100782, 40508, 1
7, 1, 81017, 40538, 1
7, 0, 80148, 40568, 1
7, 1, 80148, 40598, 1
7, 1, 79636, 40628, 1
7, 1, 79362, 40658, 1
7, 0, 79587, 40689, 1
7, 1, 79920, 40719, 1
7, 1, 79411, 40749, 1
7, 1, 79308, 40779, 1
7, 0, 79957, 40809, 1
7, 1, 79562, 40839, 1
7, 1, 78717, 40869, 1
7, 1, 80626, 40899, 1
7, 0, 96017, 40929, 1
7, 1, 221656, 40959, 1
7, 1, 488964, 40989, 1
7, 1, 683349, 41019, 1
7, 0, 503081, 41049, 1
7, 1, 208762, 41080, 1
7, 1, 108546, 41110, 1
7, 1, 81859, 41140, 1
7, 0, 80297, 41170, 1
7, 1, 79132, 41200, 1
7, 1, 78787, 41230, 1
7, 1, 79438, 41260, 1
7, 0, 79582, 41290, 1
7, 1, 78803, 41320, 1
7, 1, 79101, 41350, 1
7, 1, 80315, 41380, 1
7, 0, 80171, 41410, 1
7, 1, 78908, 41440, 1
7, 1, 78678, 41471, 1
7, 1, 79163, 41501, 1
7, 0, 271817, 41531, 1
7, 1, 552291, 41561, 1
7, 1, 665349, 41591, 1
4, 0, 746058, 41606, 1
7, 0, 772612, 41636, 1
7, 1, 790574, 41666, 1
7, 1, 855834, 41696, 1
7, 1, 904844, 41726, 1
7, 0, 937294, 41756, 1
7, 1, 874959, 41786, 1
7, 1, 669681, 41817, 1
7, 1, 339697, 41847, 1
7, 0, 118241, 41877, 1
7, 1, 80235, 41967, 1
7, 0, 90402, 41997, 1
7, 1, 159801, 42027, 1
7, 1, 342451, 42057, 1
7, 1, 498922, 42087, 1
7, 0, 871520, 42117, 1
7, 1, 1251605, 42147, 1
7, 1, 1018807, 42177, 1
7, 1, 808288, 42207, 1
